Tick,NestId,Inactive,Assessing,Recruiting,Reversing
90500,1,0,3,1,0
90500,2,0,9,7,0
91000,0,157,0,0,0
91000,1,0,3,1,0
91000,2,0,9,7,0
91500,0,157,0,0,0
91500,1,0,3,1,0
91500,2,0,9,7,0
92000,0,157,0,0,0
92000,1,0,3,1,0
92000,2,0,9,7,0
92500,0,157,0,0,0
92500,1,0,3,1,0
92500,2,0,9,7,0
93000,0,157,0,0,0
93000,1,0,3,1,0
93000,2,0,9,7,0
93500,0,156,0,0,0
93500,1,0,4,1,0
93500,2,0,8,7,0
94000,0,155,0,0,0
94000,1,0,4,1,0
94000,2,0,10,7,0
94500,0,155,0,0,0
94500,1,0,4,1,0
94500,2,0,10,7,0
95000,0,155,0,0,0
95000,1,0,4,1,0
95000,2,0,10,7,0
95500,0,155,0,0,0
95500,1,0,4,1,0
95500,2,0,10,7,0
96000,0,155,0,0,0
96000,1,0,3,1,0
96000,2,0,10,7,0
96500,0,155,0,0,0
96500,1,0,3,1,0
96500,2,0,11,7,0
97000,0,155,0,0,0
97000,1,0,3,1,0
97000,2,0,11,7,0
97500,0,155,0,0,0
97500,1,0,3,1,0
97500,2,0,11,7,0
98000,0,155,0,0,0
98000,1,0,3,1,0
98000,2,0,11,7,0
98500,0,155,0,0,0
98500,1,0,3,1,0
98500,2,0,11,7,0
99000,0,155,0,0,0
99000,1,0,4,1,0
99000,2,0,12,7,0
99500,0,155,0,0,0
99500,1,0,4,1,0
99500,2,0,12,7,0
100000,0,155,0,0,0
100000,1,0,4,1,0
100000,2,0,12,7,0
100500,0,155,0,0,0
100500,1,0,4,1,0
100500,2,0,12,7,0
101000,0,154,0,0,0
101000,1,0,4,1,0
101000,2,0,13,7,0
101500,0,154,0,0,0
101500,1,0,3,1,0
101500,2,0,13,7,0
102000,0,154,0,0,0
102000,1,0,3,1,0
102000,2,0,13,7,0
102500,0,154,0,0,0
102500,1,0,3,1,0
102500,2,0,12,8,0
103000,0,154,0,0,0
103000,1,0,4,1,0
103000,2,0,12,8,0
103500,0,154,0,0,0
103500,1,0,4,1,0
103500,2,0,12,8,0
104000,0,154,0,0,0
104000,1,0,4,1,0
104000,2,0,12,8,0
104500,0,154,0,0,0
104500,1,0,4,1,0
104500,2,0,14,8,0
105000,0,154,0,0,0
105000,1,0,4,1,0
105000,2,0,14,8,0
105500,0,154,0,0,0
105500,1,0,4,1,0
105500,2,0,14,8,0
106000,0,154,0,0,0
106000,1,0,4,1,0
106000,2,0,14,8,0
106500,0,154,0,0,0
106500,1,0,4,1,0
106500,2,0,14,8,0
107000,0,154,0,0,0
107000,1,0,4,1,0
107000,2,0,14,8,0
107500,0,153,0,0,0
107500,1,0,5,1,0
107500,2,0,14,10,0
108000,0,153,0,0,0
108000,1,0,5,1,0
108000,2,0,14,10,0
108500,0,153,0,0,0
108500,1,0,5,1,0
108500,2,0,13,11,0
109000,0,153,0,0,0
109000,1,0,4,2,0
109000,2,0,13,11,0
109500,0,153,0,0,0
109500,1,0,4,2,0
109500,2,0,12,11,0
110000,0,153,0,0,0
110000,1,0,4,2,0
110000,2,0,12,11,0
110500,0,153,0,0,0
110500,1,0,4,2,0
110500,2,0,12,11,0
111000,0,153,0,0,0
111000,1,0,4,2,0
111000,2,0,12,11,0
111500,0,153,0,0,0
111500,1,0,4,2,0
111500,2,0,12,11,0
112000,0,153,0,0,0
