Tick,NestId,Inactive,Assessing,Recruiting,Reversing
149501,2,98,1,11,1
150001,0,37,1,0,0
150001,1,12,0,2,0
150001,2,101,1,10,2
150501,0,37,1,0,0
150501,1,12,0,2,0
150501,2,103,1,10,2
151001,0,36,1,0,0
151001,1,12,0,2,0
151001,2,103,0,12,1
151501,0,36,1,0,0
151501,1,12,0,2,0
151501,2,104,0,12,1
152001,0,36,1,0,0
152001,1,12,0,2,0
152001,2,104,0,12,1
152501,0,36,1,0,0
152501,1,12,0,2,0
152501,2,104,0,12,1
153001,0,35,1,0,0
153001,1,12,0,2,0
153001,2,104,0,12,1
153501,0,33,2,0,0
153501,1,12,0,1,1
153501,2,104,0,11,1
154001,0,33,2,0,0
154001,1,12,0,2,0
154001,2,103,0,13,0
154501,0,32,2,0,0
154501,1,12,1,2,0
154501,2,103,0,13,0
155001,0,32,2,0,0
155001,1,13,1,2,0
155001,2,103,0,13,0
155501,0,32,2,0,0
155501,1,13,1,2,0
155501,2,104,0,13,0
156001,0,31,2,0,0
156001,1,13,1,2,0
156001,2,104,0,13,0
156501,0,31,2,0,0
156501,1,13,1,2,0
156501,2,105,0,12,1
157001,0,31,2,0,0
157001,1,13,2,2,0
157001,2,107,0,11,2
157501,0,30,2,0,0
157501,1,13,3,2,0
157501,2,107,0,12,1
158001,0,29,2,0,0
158001,1,13,3,2,0
158001,2,109,0,10,3
158501,0,29,2,0,0
158501,1,13,3,2,0
158501,2,109,0,11,2
159001,0,28,2,0,0
159001,1,13,3,2,0
159001,2,109,0,11,2
159501,0,27,2,0,0
159501,1,13,3,2,0
159501,2,110,0,10,3
160001,0,26,2,0,0
160001,1,13,3,2,0
160001,2,109,0,11,2
160501,0,26,2,0,0
160501,1,13,3,1,0
160501,2,109,0,12,2
161001,0,26,2,0,0
161001,1,13,3,1,0
161001,2,110,0,11,3
161501,0,24,2,0,0
161501,1,14,3,1,0
161501,2,110,0,12,2
162001,0,24,2,0,0
162001,1,14,3,1,0
162001,2,110,0,13,2
162501,0,24,2,0,0
162501,1,14,3,1,0
162501,2,110,0,13,2
163001,0,24,2,0,0
163001,1,14,3,1,0
163001,2,112,0,11,4
163501,0,23,2,0,0
163501,1,14,3,1,0
163501,2,113,0,12,3
164001,0,22,2,0,0
164001,1,14,3,1,0
164001,2,113,0,13,2
164501,0,21,2,0,0
164501,1,14,3,1,0
164501,2,111,0,15,1
165001,0,20,2,0,0
165001,1,14,3,1,0
165001,2,113,0,15,1
165501,0,20,2,0,0
165501,1,14,3,1,0
165501,2,113,0,16,0
166001,0,20,2,0,0
166001,1,14,3,1,0
166001,2,113,0,16,0
166501,0,20,2,0,0
166501,1,14,3,1,0
166501,2,113,0,16,0
167001,0,19,2,0,0
167001,1,14,3,1,0
167001,2,114,0,16,0
167501,0,19,2,0,0
167501,1,15,3,0,1
167501,2,114,0,16,0
168001,0,19,2,0,0
168001,1,15,3,1,0
168001,2,115,0,16,0
168501,0,19,1,0,0
168501,1,15,3,1,0
168501,2,116,0,17,0
169001,0,19,1,0,0
169001,1,15,3,1,0
169001,2,116,0,17,0
169501,0,18,1,0,0
169501,1,15,3,1,0
169501,2,116,0,17,0
170001,0,17,1,0,0
170001,1,15,3,1,0
170001,2,116,0,17,0
170501,0,17,1,0,0
170501,1,15,3,1,0
170501,2,117,0,17,0
171001,0,16,1,0,0
171001,1,15,3,1,0
171001,2,117,0,17,0
171501,0,14,1,0,0
171501,1,15,3,1,0
171501,2,117,0,17,0
172001,0,14,2,0,0
172001,1,15,2,1,0
172001,2,117,0,16,0
172501,0,14,2,0,0
172501,1,15,1,1,0
172501,2,117,0,16,0
173001,0,14,2,0,0
173001,1,15,0,1,0
173001,2,118,0,15,1
173501,0,14,2,0,0
173501,1,15,0,1,0
173501,2,119,0,15,1
174001,0,14,2,0,0
174001,1,15,0,1,0
174001,2,119,0,16,0
174501,0,14,2,0,0
174501,1,15,0,1,0
174501,2,119,0,16,0
175001,0,14,2,0,0
175001,1,15,0,1,0
175001,2,121,0,16,0
175501,0,14,3,0,0
175501,1,15,0,1,0
175501,2,123,0,14,1
176001,0,14,3,0,0
176001,1,15,0,0,0
176001,2,123,0,15,0
176501,0,14,2,0,0
176501,1,15,0,1,0
176501,2,123,0,15,0
177001,0,14,2,0,0
177001,1,15,0,1,0
177001,2,123,0,15,0
177501,0,10,2,0,0
177501,1,15,0,1,0
177501,2,123,0,15,0
178001,0,9,2,0,0
178001,1,15,0,1,0
